,message
917121,쵸비 cs병있어서 cs만 먹다가 게임 진다 ㅋㅋ
866065,슼까 ㅎㅇ
431601,불독 오늘 진짜 개못맞추네..
305945,88848하면서 티원만 잡으면 잘하는게 아니라 그냥 티원 카운터팀인거 님?
224326,불독 존나못함
467658,ㅋㅋㅋㅋㅋㅋ골떄리네 ㅋㅋㅋㅋㅋㅋㅋㅋ
533705,역시 단단한 건 젠지가 최고다 진짜 절대 무리 안하면서 탄탄하게 운영하네
547271,팔팔이 친구들 몇명 보이넹
228678,존나멋잇다 불
3624,1557말고 좀 참신하고 재밌는 거 가져와봐라
237592,1557-0013 ^3대떡^
625575,ㅇㅅㅇㅅㅇ
693738,t1 화이팅~~
508092,88848“8”예상^^
989026,쿨 개짧네
906929,준위가 있으면 준병 준사 준령도 있겠네 ㅋㅋ 준위가 어딨냐 어휴 미필들 ㅋㅋ
920882,정글템은 라이너들이 못가는데 서폿템은 라이너들도 갈 수 있노 ㅋㅋㅋ
193463,눕롤 하지마ㅠㅠ
163676,먼데 생방송이라 해놓고는 사기치네
345551,kmh /// 그러니까 티원이 젠지한테 깝치는 거랑 똑같은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
567556,조합 더럽네진짜
372014,T1팬들은 확실히 롤을 모르네
576563,개 똥 란
785908,놀이터컵에서 ㄱㄱ당한 티원은 뭐임?
758929,클로저도 강팀 갈만한 실력인데
681126,근대 왜 피시방에잇을거같이 생겻네 ㅋㅋㅋㅋ
652764,와 젠지 첫패를 케이티한테 하네 ㅋㅋㅋ 상성은 진짜네 ㅋㅋㅋ 88848
899970,이번 롤드컵 진출 티원 젠지 한화 kt 예상함 빼박일듯
862699,세탭 칼챔아지르 맛도리네 ㅋㅋㅋㅋ
713771,유라님...;;; 아무리 페까짓할려고해도 디도스 응호하는건 하지마세요...진짜 철 없어 보여요
192587,국내전의 젠지 그냥 믿고봐라 단 국제전의 젠지는 다르다 하늘이 돕거든
962553,구마유시 cs못먹는거 맞는데 롤의R자도 모르네 ㅉㅉ
169202,젠지든 티원이든 얘네한테 지면 난리 나는거지
214066,"디도스 영업방해, 기업이미지훼손으로 몇십억 때려야돼"
379042,다들 까느라 정신없네 ㅋㅋㅋㅋ 걍 경기보면 될것이지 굳이 까고있냐 왜 ㅋㅋㅋ
144644,T1 8개월째 젠지 이긴적 없긴해
988939,젠번방 ㄷㄷ
545760,잡팀들 ㅇㅈㄹ 인성왜저럼? ㅋㅋㅋ 보기싫으면 안보면댐
125424,티원 진짜 폼 나락이네
214526,근데 대책도 안세우고 경기그냥 진행하는거임?
833489,원딜 cs 150갸 차이나네 ㅋㅋㅋ 레전드다
1007772,디플코치에서 남탓충 고릴라 빠지니까 바로 올라가누 따로 말할때 선수탓 엄청하드만 ㅋㅋㅋㅋ
717155,뭔 개소리여 전판에 바이 먹고 탐켄치 주고 ㅇ이겼는데 ㅋㅋ
971035,정말 역겨운 경기력이군 FearX
114329,익룡들 익룡들 하는데 여자한테 열등감 있냐고 ㅋㅋㅋㅋ 그 소리 듣기 싫으면 음소거하고 봐 이것도 스포츠여서 관중들 소리지르는 건 당연한거지 야구나 축구에서 소리 안지르나 무슨 열등감으로 욕하는 거임 현장감 있어서 좋구만
319273,진건 브리온인데 화난건 그갈들 ㅋㅋㅋ
43823,놀이터는 젠지가 1황임 단지 놀이공원가면 어버버할뿐
818422, 피넛 리신이 옛날처럼 음파만 맞추면 다 패죽이는 포스는 안남....
1006900,또 조나스트롱만 맞췄네
295252,테디 앞점멸해서 딸킬하는게 맞냐 이거
641690,채팅은 어차피 커뮤충밖에 안쳐
65860,구호 외치지 마라 ㅈㄴ별로니까
359038,노틸 못한게 좀 컸네
671269,젠지 우승기록만있지 트로피는없다 바보들아ㅋㅋㅋㅋ
916147,뭔 탱정글이야 그럴거면 비싼돈주고 왜 계약했냐 아오
670067,2라운드 티원젠지전 존나 꿀잼이겠네 채팅방이 ㅋㅋㅋ
225908,롤드컵때는 LNG 징동 웨이브 팬이 더 많던데 ㅋㅋ
125837,상체가개못하는데
197717,광스피 떡락 ㅋㅋㅋㅋㅋㅋㅋㅋ
94122,정보) 딮기 상대로는 킬스코어 7:0도 역전했다 근들갑 ㄴ
331627,채팅 너무 더럽
879841,징크스 탐켄치 예상하고 자르반픽 준비한거같은데
837061,탑 후픽하고 솔킬 따이고 주도권 넘어갔으면 겜 져야지
535239,무관의 역습..
4830,구독 두번누를때마다 채팅딜레이 1분씩 줄어듦
1861,바텀 라인업 롤드컵 결승 리매치네
871161,티원은 CS 2배로 주냐? 돈 버는게 장난 아니네 
8249,스몰더 반댓말은 빅더 ㅋㅋㅋ 개추를 벅벅
625087,채팅창 끄고 보는게 맞음 
6600,쵸쵸쵸룰쵸가 뭔가요 ??
23060,ㅈㄴ 못한다
989033,뭐여 벽맞추면 쿨 짧나??왤케빨라
519383,T1이 딱 토트넘 같은 느낌
652135,저기까지는 진짜 베릴아님 안간다 ㅋㅋㅋㅋ
371376,ㅋㅋㅋ진짜 이걸 전부 오너탓하는건 너무억지아니냐 ㅋㅋ
292410,"T1 is the strongestThere are still many good players, but most of them are equal to or worse than Faker. However, Faker has maintained his position as the strongest for 10 years"
351936,젠지가 우승할거같은데 msi때는 티원이 우승임 젠지 blg시종 엌
558659,돌고돌아 젠티
353598,t1!!!!!!!
725860,저 현직 디도스범인데 님들 생각해서 경기 볼 수 있게 봐주고 있는 겁니다... 매너 시청 부탁드리고 티원 팬으로서 1557 채팅 치시는분들 계시면 바로 디도스 걸어서 경기 못보게 해드리겠습니다... 마지막으로 경고합니다. 1557 절대 치지 마세요. 그리고 페이커 선수 욕하시는 분들은 ip 추적해서 반드시 잡아냅니다. 경고했습니다...
705897,정작 페이커랑 쵸비는 사이좋은데 ㅋㅌㅌㅌㅌㅋㅋㅋㅋㅋ
537874,못하는팀 특) 못함
297380,새탭 오늘 ptsd오겟네
936512,엄 앵 란
172276,진짜 카르마 왜했냐
197200,빨리 끝내라 t1 경기좀 보게
262945,ㅈ댐 초비 머리 벌어짐
376973,쵸비가아래봤으면 둘다뒤졌는데 뭔소리냐 저건 ㅋㅋㅋㅋ
972457,무결성 ㄷㄷㄷㄷㄷ
251645,디도스 또 ON
197840,88848하지마세요 명예훼손으로 고소합니다
964572,t1
787962,결국 하나의 젠지. 젠지 공정이넹. 
635919,젠도스 답 없네 티원 이기니깐 걸어버리네?
533553,바이 벤하니까 엄청 못하네 ㄷㄷ...
781455,지금롤드컵우승해도 3개나차이나네 와......
204137,디도스는 이제 젠지팬확정이나? 젠지는 넘어가고 티원만?ㅋㅋ
899215,99959
620994,ㅈ 노잼이네 진짜
892086,정글이고 라인이고 남김없이 다먹고있넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
757976,제발 광동이겨야 되는데 콴텀선수 제발 안딜선수 대신 잘해줬으면 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
866474,스폰지밥 에바네 진짜
